id,event_id,sport_key,format_type,entrant_a,entrant_b,scheduled_at,venue,match_type,status,abandon_reason,result_confirmations,result_summary,group_no,round_label,stage
e99560b5-00d6-4d07-a591-925ed41ba22e,,badminton,pair,"{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea,f811824b-6089-4193-92e9-bad27fbc47ca}","{2aeed96d-868a-4b33-b7e6-23feaaa4eed6,2fa1d06e-6241-4bdc-8365-3d2c789dde87}",,,internal_ladder,completed,,,"{""winnerSide"": ""B"", ""marginRatio"": 0.6, ""scoreDisplay"": ""21-12, 21-15"", ""enteredManually"": true}",,,group
0d1879b8-9db1-41f1-b11c-af2b37ec560c,2c18d262-5114-412b-a702-18c26b050499,cricket,team,"{5b430e07-f079-42e9-804b-a45451615ddd,23cb959a-5136-45b3-833c-42697848d84b}","{4f17ec14-e292-4bde-8193-0034e482b545,5ea71036-d4db-4b51-8883-560e0d1a990b}",,Koramangala Ground,interschool,completed,,"{""3af25196-f3f9-4474-b1b9-02c9f1bbfd08"": {""confirmedAt"": ""2026-07-08T03:17:02.861Z"", ""confirmedBy"": ""823f3bcf-d521-421b-8f9a-181e2c6238cc""}, ""d7d65f95-4376-4d0a-be66-a5efa8d648e7"": {""confirmedAt"": ""2026-07-08T03:17:02.875Z"", ""confirmedBy"": ""d6b3479f-1274-4af5-952f-e704cb468b18""}}","{""winnerSide"": ""A"", ""scoreDisplay"": ""20/1 (Side A) vs 3/1 (Side B)"", ""enteredManually"": false}",,,group
80c3f370-ea74-4681-bd20-e37ed67142ec,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,{},"{""winnerSide"": ""B"", ""marginRatio"": 0.35, ""scoreDisplay"": ""21-14, 21-18"", ""scoredByRole"": ""referee"", ""enteredManually"": false}",,,group
e89ef21b-f057-41da-b74f-87dae3044ab1,,badminton,individual,{f811824b-6089-4193-92e9-bad27fbc47ca},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},,,internal_ladder,completed,,,"{""winnerSide"": ""B"", ""marginRatio"": 0.55, ""scoreDisplay"": ""21-9, 21-11"", ""enteredManually"": false}",,,group
0b0397ae-e8c9-43c2-9f70-f4438daee7e0,2c18d262-5114-412b-a702-18c26b050499,cricket,team,"{5b430e07-f079-42e9-804b-a45451615ddd,23cb959a-5136-45b3-833c-42697848d84b}","{4f17ec14-e292-4bde-8193-0034e482b545,5ea71036-d4db-4b51-8883-560e0d1a990b}",,Return Leg - Indiranagar Ground,interschool,completed,,"{""3af25196-f3f9-4474-b1b9-02c9f1bbfd08"": {""confirmedAt"": ""2026-07-08T03:25:43.787Z"", ""confirmedBy"": ""823f3bcf-d521-421b-8f9a-181e2c6238cc""}, ""d7d65f95-4376-4d0a-be66-a5efa8d648e7"": {""confirmedAt"": ""2026-07-08T03:26:05.879Z"", ""confirmedBy"": ""d6b3479f-1274-4af5-952f-e704cb468b18""}}","{""winnerSide"": ""A"", ""scoreDisplay"": ""10/0 (Side A) vs 0/0 (Side B)"", ""enteredManually"": false}",,,group
8b164f8e-9380-4454-8c38-989bf78f0c4c,,badminton,pair,"{5b430e07-f079-42e9-804b-a45451615ddd,a55eebf7-bda4-40ef-a4e2-ff6b5330ac4d}","{7504b550-0237-4464-8f43-65470b144f54,ed10fe2b-4332-48ba-9e13-1be33d436578}",,,internal_ladder,live,,,,,,group
3776190f-b7c5-4337-87d6-364513a6940e,,cricket,team,"{ef93768d-d646-4510-a4ac-5758b1bae327,598f7f8f-938d-4fbb-a1dd-16fe6746f89d,aa9e1ef1-9176-4dfb-9923-9bb6ef7d70e1}","{5b430e07-f079-42e9-804b-a45451615ddd,a55eebf7-bda4-40ef-a4e2-ff6b5330ac4d,1fe5d1bd-2a9b-4151-b207-b809353aaf0c,23cb959a-5136-45b3-833c-42697848d84b,ed10fe2b-4332-48ba-9e13-1be33d436578,7504b550-0237-4464-8f43-65470b144f54}",,,practice,live,,,,,,group
0a41a9fe-609c-40a9-a76c-70da88800071,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,,"{""winnerSide"": ""A"", ""marginRatio"": 0.05, ""scoreDisplay"": ""21-19, 19-21, 22-20"", ""enteredManually"": false}",,,group
53b3f278-1615-4a90-9172-14a5de37e747,,badminton,individual,{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},{2fa1d06e-6241-4bdc-8365-3d2c789dde87},,,internal_ladder,completed,,,"{""winnerSide"": ""A"", ""marginRatio"": 1, ""scoreDisplay"": ""3-1"", ""enteredManually"": false}",,,group
14526709-14ff-42db-8b0d-9a65398577db,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,practice,completed,,{},"{""winnerSide"": ""A"", ""scoreDisplay"": ""21-10"", ""scoredByRole"": ""account_manager"", ""enteredManually"": true}",,,group
165edd79-1aa2-47f7-93b0-59a29bb2da1c,eacea03e-5150-4d64-a477-f88c97ad9a31,badminton,team,{0d1a9653-42ed-4ea1-b55c-3b943c54bbc0},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-08-08 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-09T07:51:45.630Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""785ef66d-5f7d-4dfc-88d9-f7903cbb3c3a"": {""confirmedAt"": ""2026-07-09T07:51:45.659Z"", ""confirmedBy"": ""da25fa8b-935f-41bc-82f0-435c24e09685""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.4, ""scoreDisplay"": ""3-1"", ""scoredByRole"": ""coach"", ""enteredManually"": false}",,,group
06b4f5ec-539c-4e4e-bd69-c15806f5c03e,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,{},"{""winnerSide"": ""B"", ""marginRatio"": 0.35, ""scoreDisplay"": ""21-14, 21-18"", ""scoredByRole"": ""referee"", ""enteredManually"": false}",,,group
b163c54d-81af-4f54-8ba8-be6887c4643a,a5cdb1af-edb6-4697-b64e-7359f4be6221,badminton,team,{180c894a-9d15-462b-9cc9-cacc5570222e},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-08-09 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T02:56:46.965Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""785ef66d-5f7d-4dfc-88d9-f7903cbb3c3a"": {""confirmedAt"": ""2026-07-10T02:56:46.977Z"", ""confirmedBy"": ""da25fa8b-935f-41bc-82f0-435c24e09685""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.4, ""scoreDisplay"": ""3-1"", ""scoredByRole"": ""coach"", ""enteredManually"": false}",,,group
532c3de3-7174-44e5-8b52-0b9db48135b2,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,practice,completed,,{},"{""winnerSide"": ""A"", ""scoreDisplay"": ""21-10"", ""scoredByRole"": ""account_manager"", ""enteredManually"": true}",,,group
7e64dd89-0fd2-4652-bdce-6ce751c4358c,bd214fa5-9a69-4309-be68-4520a5af69af,badminton,team,{960ca358-bc41-4fa0-9f02-f2f1bd601b06},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-08-09 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T18:57:50.224Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""785ef66d-5f7d-4dfc-88d9-f7903cbb3c3a"": {""confirmedAt"": ""2026-07-10T18:57:50.247Z"", ""confirmedBy"": ""da25fa8b-935f-41bc-82f0-435c24e09685""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.4, ""scoreDisplay"": ""3-1"", ""scoredByRole"": ""coach"", ""enteredManually"": false}",,,group
3e4971d0-598a-4c2b-b82c-9afe910400bb,bc039909-9a77-44a6-9e68-a946e0af90a2,badminton,team,{e36a63de-7942-4369-962b-33c7da988a74},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-07-30 00:00:00,,interschool,live,,,,,,group
fc46cc13-dfbe-4575-85ab-92c66f64b2b4,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,{},"{""winnerSide"": ""B"", ""marginRatio"": 0.35, ""scoreDisplay"": ""21-14, 21-18"", ""scoredByRole"": ""referee"", ""enteredManually"": false}",,,group
dea0c00a-eec2-49bf-8922-27ed9153c81b,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,practice,completed,,{},"{""winnerSide"": ""A"", ""scoreDisplay"": ""21-10"", ""scoredByRole"": ""account_manager"", ""enteredManually"": true}",,,group
a8786d64-bd55-4bf5-8c3a-28d1f1b17d4b,d65a5825-8859-49c8-85cf-b084a34de79c,football,team,{06a14654-318e-4d75-b7bc-f01f7cc077dc},{df389ef4-3fb6-4b0e-8c56-73b41670ea65},2026-08-20 00:00:00,,interschool,pending_confirmation,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:22:30.083Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
6f492a98-25a5-436c-ba38-fa1f7adfe80b,29a20cc6-da4f-4ad0-a16f-9c36be11139a,badminton,team,{ebfe58f5-be1c-4d7c-abc3-5253195681eb},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-08-09 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:55:30.235Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""785ef66d-5f7d-4dfc-88d9-f7903cbb3c3a"": {""confirmedAt"": ""2026-07-10T20:55:30.255Z"", ""confirmedBy"": ""da25fa8b-935f-41bc-82f0-435c24e09685""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.4, ""scoreDisplay"": ""3-1"", ""scoredByRole"": ""coach"", ""enteredManually"": false}",,,group
32ac305e-8c89-45fb-b1f5-cb09a199e92b,40950b70-f9cc-43c5-b798-6b7b4758ad16,football,team,{93eae838-7388-48a7-8e0e-333354f6bf16},{e7161e2b-f132-4ce3-b401-cd14b925c83f},2026-08-20 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:23:07.775Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""dbbec2a2-e10c-4991-be8e-0da2dc0c8f5f"": {""confirmedAt"": ""2026-07-10T20:23:07.807Z"", ""confirmedBy"": ""439557d7-65f1-4d09-870a-f62aa74de032""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
dcb7e140-6de7-4e82-aa47-0267732ad656,9c3a2143-ac5f-4202-8476-39531cf4c536,football,team,{132d7701-ec52-4ef7-a420-4cf93cbf573f},{b432c853-85cf-45e8-90fd-63bafb11bc9a},2026-08-20 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:24:51.764Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""829e42ae-2e4e-4a50-8f05-a5cc88c4d7dc"": {""confirmedAt"": ""2026-07-10T20:24:51.783Z"", ""confirmedBy"": ""8080e487-3973-49b8-9c47-69040ab44fce""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
b9c97bf8-1e3a-4638-9ee1-282041405267,d0e5e2cc-d5b9-43d8-a756-429b12276510,football,team,{af2e643f-9358-4269-8d88-9f03be8847aa},{64b4e6fb-bfbc-4be9-940f-039058173cc0},2026-08-20 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:26:31.635Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""814c8b25-0b12-4654-bad0-149d2caa7550"": {""confirmedAt"": ""2026-07-10T20:26:31.663Z"", ""confirmedBy"": ""9f114dbd-f86d-444c-be18-87198073aca3""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
219342cb-352d-4c01-a1fd-b237013475ff,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,{},"{""winnerSide"": ""B"", ""marginRatio"": 0.35, ""scoreDisplay"": ""21-14, 21-18"", ""scoredByRole"": ""referee"", ""enteredManually"": false}",,,group
03aec44b-6bc9-4272-847f-a501c1d556b6,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,practice,completed,,{},"{""winnerSide"": ""A"", ""scoreDisplay"": ""21-10"", ""scoredByRole"": ""account_manager"", ""enteredManually"": true}",,,group
ded4d5d3-ab3f-4bf7-8491-54286c559005,0fc7fdc8-b6dc-44a1-96cd-04f921e83f45,basketball,team,{0a7b111c-c4a3-40bd-a510-caf8f9ffb17e},{430fa5cc-c47d-4089-9db1-0cbe5f4c9e55},2026-09-05 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T21:34:35.892Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""d116d7b7-0ccf-4f57-9681-518d631d6065"": {""confirmedAt"": ""2026-07-10T21:35:02.040Z"", ""confirmedBy"": ""99b493cf-b1ec-473c-b1b5-3de8e7f76fd9""}}","{""winnerSide"": ""A"", ""scoreDisplay"": ""52-44"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
b67edf01-1633-420f-8a97-581511db4d10,a9ca3454-9690-4a41-b1f0-daef421970a8,football,team,{fb478e97-a70e-4f85-9c67-968fb35b8e68},{808e83a2-9d7e-4a16-bf13-f95c83e6f455},2026-08-20 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T20:55:35.520Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""7bc3ac12-e47c-4ce7-a301-151fa7a7f640"": {""confirmedAt"": ""2026-07-10T20:55:35.543Z"", ""confirmedBy"": ""6667507a-89b6-4d49-a6d8-0a22ccd2e2f3""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
a687607a-fb92-494f-9c6c-e15031c91abd,cf6ddd0c-c048-458c-b243-f83d6752207d,badminton,team,{5b424684-9b12-4275-90a8-0316a38b4361},{14bdbc13-4001-4e39-bf26-ce6896978690},2026-09-10 00:00:00,,interschool,pending_confirmation,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T21:43:17.109Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}}","{""winnerSide"": ""A"", ""scoreDisplay"": ""21-15, 18-21, 21-19"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
f74fde2e-b5e7-4a45-b357-6e51aed34d53,0b3770f9-931f-4c1d-89b1-53ca5580c0c5,kabaddi,team,{90732f89-5592-4cf6-b6b7-d40289b920c2},{01387df2-e6da-461c-ba69-1b893af3e5b0},2026-09-15 00:00:00,Demo Center,interschool,scheduled,,,,,,group
6a889b0f-deb7-4351-8d58-7be7779c3dd2,6ecb266f-97e2-4a02-a7a1-05ddd2e7ebc9,football,team,{968c20b6-5590-40e4-8fba-8900e242d915},{6e2836f1-b960-4f1e-91c1-367867ddde4c},2026-08-20 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-10T21:43:33.821Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""733ec782-9fe4-4c3f-8292-f64fb9d4f004"": {""confirmedAt"": ""2026-07-10T21:43:33.837Z"", ""confirmedBy"": ""27eb83e5-4dba-4d53-95c5-9a89de21a90f""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.5, ""scoreDisplay"": ""3–1"", ""scoredByRole"": ""coach"", ""enteredManually"": true}",,,group
fdb438f2-3958-46b2-8251-afb4e54ded0c,b9d97097-68c4-4d36-bd08-5aca58e0df4a,badminton,team,{6ed18160-0160-4b37-94aa-24b4b5535783},{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},2026-08-10 00:00:00,,interschool,completed,,"{""2301f327-b291-495d-a14f-e55b1f1f9212"": {""confirmedAt"": ""2026-07-11T02:14:06.111Z"", ""confirmedBy"": ""3bbcabd3-c2f3-460e-9913-3f5c95a6713a""}, ""785ef66d-5f7d-4dfc-88d9-f7903cbb3c3a"": {""confirmedAt"": ""2026-07-11T02:14:06.133Z"", ""confirmedBy"": ""da25fa8b-935f-41bc-82f0-435c24e09685""}}","{""winnerSide"": ""A"", ""marginRatio"": 0.4, ""scoreDisplay"": ""3-1"", ""scoredByRole"": ""coach"", ""enteredManually"": false}",,,group
b1c72d69-748b-4786-b0ad-6fa7eeff1c0f,,badminton,individual,{80b68ddb-b7ec-43bc-a90d-cc735f9c31ea},{2aeed96d-868a-4b33-b7e6-23feaaa4eed6},,,internal_ladder,completed,,{},"{""winnerSide"": ""B"", ""marginRatio"": 0.35, ""scoreDisplay"": ""21-14, 21-18"", ""scoredByRole"": ""referee"", ""enteredManually"": false}",,,group
